,Symbol,Date,Open,High,Low,Close,Volume
397,IDXG,2018-07-11,9.1,9.2,8.9,8.9,180400
398,IDXG,2018-07-12,9.1,9.4,8.9,9.2,491700
399,IDXG,2018-07-13,9.4,9.6,9.2,9.5,496500
400,IDXG,2018-07-16,9.4,10.4,9.3,10.25,1552600
401,IDXG,2018-07-17,10.2,10.8,10.0,10.4,1206400
402,IDXG,2018-07-18,10.4,10.5,9.8,10.2,453600
403,IDXG,2018-07-19,10.3,10.5,9.9,10.3,285300
404,IDXG,2018-07-20,10.2,10.7,10.2,10.5,550300
405,IDXG,2018-07-23,10.7,11.0,10.5,10.8,761600
406,IDXG,2018-07-24,11.0,11.0,10.25,10.3,438900
407,IDXG,2018-07-25,10.3,10.6,10.2,10.5,266600
408,IDXG,2018-07-26,10.8,11.0,10.4,10.9,460800
409,IDXG,2018-07-27,10.9,11.9,10.9,11.4,1595400
410,IDXG,2018-07-30,11.3,11.6,10.9,11.0,415600
411,IDXG,2018-07-31,11.0,11.0,10.1,10.3,982100
412,IDXG,2018-08-01,10.7,10.7,10.3,10.5,152700
413,IDXG,2018-08-02,10.5,10.51,9.9,10.05,419100
414,IDXG,2018-08-03,10.0,10.4,9.9,10.0,304100
415,IDXG,2018-08-06,10.2,10.4,10.1,10.4,200600
416,IDXG,2018-08-07,10.5,10.6,10.1,10.2,116700
